Tier,区分,証券コード,企業名,主要アクティビスト,保有%,推移Δpp,否決,条件,株価,PER,PBR,配当利回り%,株価日付,推移,メモ
1,新規,8585,株式会社オリエントコーポレーション,株式会社ストラテジックキャピタル,12.8,7.57,○,C,918.0,12.19,0.63,4.36,2026-07-30,25/07: 5.23% → 25/07: 6.26% → 25/08: 7.28% → 25/11: 8.34% → 26/01: 9.36% → 26/01: 9.63% → 26/02: 10.52% → 26/02: 10.77% → 26/03: 11.78% → 26/06: 12.80%,SC新規12.8%。消費者金融大手。否決
1,新規,4452,花王株式会社,Ｏａｓｉｓ Ｍａｎａｇｅｍｅｎｔ Ｃｏｍｐａｎｙ Ｌｔｄ．,12.63,7.4,○,C,3384.0,13.0,1.44,4.55,2026-07-30,24/12: 5.23% → 26/02: 6.64% → 26/03: 9.90% → 26/03: 12.49% → 26/05: 12.63% → 26/05: 12.63%,Oasis 5%→12.6%＋会社提案30%否決。超大型ブルーチップの象徴案件
1,継続,6616,トレックス・セミコンダクター株式会社,カナメ・キャピタル・エルピー（Ｋａｎａｍｅ Ｃａｐｉｔａｌ，Ｌ．Ｐ．）,11.16,4.04,○,C,1670.0,15.27,0.94,3.35,2026-07-30,24/03: 7.12% → 24/07: 8.18% → 24/11: 9.42% → 25/03: 10.44% → 25/06: 10.44% → 25/07: 11.44% → 25/09: 12.46% → 25/09: 12.46% → 25/12: 13.49% → 26/04: 14.54% → 26/06: 13.40% → 26/06: 12.37% → 26/06: 13.40% → 26/07: 11.16%,カナメが2年で倍増11%。否決継続
1,継続,8358,スルガ銀行株式会社,インダス・キャピタル・パートナーズ・エル・エル・シー,11.08,5.13,○,C,2598.0,13.08,1.37,2.31,2026-07-30,24/06: 5.95% → 24/07: 7.44% → 24/12: 8.89% → 26/07: 11.08%,インダス倍増11%。被害者救済ガバナンス要求が継続
1,新規,6470,大豊工業株式会社,ｆｕｎｄｎｏｔｅ株式会社,10.8,5.26,,A,1085.0,,0.48,2.58,2026-07-30,26/02: 5.54% → 26/03: 8.68% → 26/04: 9.79% → 26/06: 10.80%,
1,新規,8818,京阪神ビルディング株式会社,株式会社ストラテジックキャピタル,10.66,5.57,,B,1121.0,11.57,0.66,3.57,2026-07-30,24/02: 5.09% → 25/04: 5.97% → 25/07: 7.14% → 25/10: 8.28% → 25/12: 9.29% → 25/12: 10.30% → 26/02: 10.54% → 26/04: 11.99% → 26/06: 10.66%,
1,継続,4512,わかもと製薬株式会社,アセット・バリュー・インベスターズ・リミテッド,10.6,4.46,○,AC,268.0,40.98,0.77,1.31,2026-07-30,25/02: 6.14% → 25/03: 7.45% → 25/04: 8.54% → 25/05: 9.58% → 26/01: 10.60%,AVI着実に積み増し10.6%。否決継続
1,新規,4902,コニカミノルタ株式会社,エフィッシモ キャピタル マネージメント ピーティーイー エルティーディー（Ｅｆｆｉｓｓｉｍｏ Ｃａｐｉｔａｌ Ｍａｎａｇｅｍｅｎｔ Ｐｔｅ Ｌｔｄ）,10.6,4.79,,-,690.8,11.28,0.64,1.74,2026-07-30,24/10: 5.81% → 25/06: 7.48% → 25/08: 9.16% → 26/03: 9.55% → 26/06: 10.60%,エフィッシモ10.6%(否決は誤検出)。大型・賛成率低下
2,新規,6023,ダイハツインフィニアース株式会社,カナメ・キャピタル・エルピー（Ｋａｎａｍｅ Ｃａｐｉｔａｌ，Ｌ．Ｐ．）,11.99,3.79,,A,2640.0,11.34,1.36,2.61,2026-07-30,24/01: 8.20% → 24/02: 9.22% → 24/02: 10.22% → 24/06: 11.32% → 24/08: 11.32% → 24/08: 12.34% → 24/08: 12.34% → 24/08: 13.36% → 24/11: 14.37% → 25/06: 14.58% → 25/11: 13.04% → 26/02: 11.99%,
2,新規,1786,オリエンタル白石株式会社,エフィッシモ キャピタル マネージメント ピーティーイー エルティーディー（Ｅｆｆｉｓｓｉｍｏ Ｃａｐｉｔａｌ Ｍａｎａｇｅｍｅｎｔ Ｐｔｅ Ｌｔｄ）,11.85,2.09,,A,371.0,14.17,0.9,3.91,2026-07-30,24/01: 9.76% → 25/08: 10.85% → 26/02: 11.85%,
2,新規,9069,センコーグループホールディングス株式会社,ダルトン インベストメンツ インク,9.47,4.46,○,AC,2237.0,19.68,1.65,2.24,2026-07-30,25/06: 5.01% → 25/11: 6.10% → 25/12: 7.10% → 26/01: 8.11% → 26/02: 9.47%,ダルトン9.5%。否決
2,継続,4549,栄研化学株式会社,ＮＩＰＰＯＮ ＡＣＴＩＶＥ ＶＡＬＵＥ ＦＵＮＤ ＰＬＣ,9.46,5.85,,A,2511.0,22.32,1.88,2.31,2026-07-30,24/01: 3.61% → 24/02: 4.50% → 24/02: 4.50% → 24/03: 4.84% → 24/04: 4.89% → 24/04: 4.94% → 24/05: 5.19% → 24/07: 5.19% → 24/07: 5.58% → 24/08: 6.07% → 24/08: 6.38% → 24/08: 6.74% → 24/10: 7.07% → 24/10: 7.39% → 24/11: 7.78% → 24/11: 8.30% → 24/12: 8.30% → 25/01: 8.30% → 25/02: 8.30% → 25/03: 8.30% → 25/06: 8.38% → 25/07: 8.40% → 25/11: 8.48% → 25/11: 9.46% → 26/04: 9.46% → 26/06: 9.46% → 26/06: 9.46%,NAVF9.5%買い増し。検査薬
2,継続,2327,日鉄ソリューションズ株式会社,３Ｄ Ｉｎｖｅｓｔｍｅｎｔ Ｐａｒｔｎｅｒｓ Ｐｔｅ． Ｌｔｄ．,9.4,4.4,○,AC,3931.0,23.33,2.58,2.16,2026-07-30,24/08: 5.00% → 24/09: 6.08% → 24/10: 7.08% → 24/11: 8.13% → 24/11: 8.35% → 25/02: 9.40%,3D 9.4%＋親会社取引の定款変更否決。親子上場ガバナンス
2,継続,1921,株式会社　巴コーポレーション,Ｂｅ Ｂｒａｖｅ株式会社,9.37,4.24,,A,1758.0,10.34,0.81,2.05,2026-07-30,25/11: 5.13% → 25/11: 5.13% → 26/03: 7.35% → 26/06: 8.37% → 26/07: 9.37%,Be Brave9.4%。建設
2,新規,5013,株式会社ユシロ,ｆｕｎｄｎｏｔｅ株式会社,8.97,3.41,,A,2830.0,8.9,0.88,3.46,2026-07-30,26/05: 5.56% → 26/06: 7.61% → 26/07: 8.97%,
2,新規,5821,平河ヒューテック株式会社,ＡＸＩＵＭ ＣＡＰＩＴＡＬ ＰＴＥ．ＬＴＤ．,8.65,3.13,,A,2977.0,28.12,1.09,1.58,2026-07-30,25/10: 5.52% → 26/01: 5.92% → 26/04: 8.03% → 26/05: 8.16% → 26/06: 7.68% → 26/06: 8.16% → 26/06: 8.65%,
2,新規,9308,乾汽船株式会社,ＭＩＲＩ Ｃａｐｉｔａｌ Ｍａｎａｇｅｍｅｎｔ ＬＬＣ,8.39,3.33,,A,1881.0,56.81,1.27,0.53,2026-07-30,25/08: 5.06% → 25/08: 6.20% → 25/08: 7.34% → 25/09: 8.39%,MIRI 8.4%買い増し。海運アクティビズムの定番
2,継続,4886,あすか製薬ホールディングス株式会社,ＮＩＰＰＯＮ ＡＣＴＩＶＥ ＶＡＬＵＥ ＦＵＮＤ ＰＬＣ,8.34,4.71,,A,2208.0,11.55,0.89,2.72,2026-07-30,24/01: 3.63% → 24/04: 4.16% → 24/04: 4.86% → 24/07: 4.96% → 24/08: 5.19% → 24/09: 5.34% → 24/10: 5.49% → 24/11: 5.59% → 24/12: 5.74% → 24/12: 6.30% → 25/01: 6.80% → 25/01: 7.45% → 25/03: 7.66% → 25/03: 8.22% → 25/05: 8.34% → 26/04: 8.34%,
2,新規,1976,明星工業株式会社,ＮＩＰＰＯＮ ＡＣＴＩＶＥ ＶＡＬＵＥ ＦＵＮＤ ＰＬＣ,7.95,2.63,,B,2038.0,17.43,1.36,3.19,2026-07-30,24/02: 5.32% → 24/02: 5.32% → 25/01: 5.44% → 25/01: 5.44% → 25/03: 6.33% → 25/04: 7.15% → 25/09: 7.38% → 25/11: 7.43% → 26/04: 7.49% → 26/06: 7.95%,
