証券コード,企業名,保有者名,最新保有割合(%),保有割合推移,保有目的,トリガー条件,報告書件数,グループ合算(%),共同保有者数,グループ合算推移
1951,エクシオグループ株式会社,シルチェスター・インターナショナル・インベスターズ・エルエルピー (Silchester International Investors LLP),4.94,24/06: 9.26% → 25/03: 8.25% → 25/03: 8.04% → 25/04: 6.98% → 25/06: 5.97% → 25/07: 4.94%,提出者は、発行者に対して増配、自己株式の買入の頻度又は総量、金庫株消却その他資本政策の変更を要求することがある。また、(i)重要な資産の処分又は取得、(ii)借入又は転換社債の発行、(iii)取締役又は重要な使用人の選任又は解任、(iv)株式譲渡、(v)会社分割又は合併、(vi)株式交換、又は (vii)事業の譲渡又は譲受に関して、発行者、提出者若しくは他の株主が提案した議案に対して、反対票を投ずることも、賛成票を投ずることもある。提出者は、その顧客の為に、株式を追加取得することも、保有株式の全て又は一部を売却することもある。,A:賛成率低下 + C:会社提案否決,6,4.94,1,24/06: 9.26% → 25/03: 8.25% → 25/03: 8.04% → 25/04: 6.98% → 25/06: 5.97% → 25/07: 4.94%
1951,エクシオグループ株式会社,野村アセットマネジメント株式会社,4.88,25/06: 4.88%,信託財産の運用として保有している。,A:賛成率低下 + C:会社提案否決,1,5.00,2,25/06: 5.00%
1951,エクシオグループ株式会社,シュローダー・インベストメント・マネジメント株式会社,4.00,24/02: 4.00%,純投資。証券投資信託及び投資一任契約にかかる信託財産の運用のため,A:賛成率低下 + C:会社提案否決,1,4.00,1,24/02: 4.00%
1951,エクシオグループ株式会社,三井住友トラスト・アセットマネジメント株式会社,3.48,24/02: 3.01% → 25/09: 3.48%,投資信託契約、投資一任契約に基づく運用を目的として保有するもの。,A:賛成率低下 + C:会社提案否決,2,8.17,3,24/02: 7.40% → 25/09: 8.17%
1951,エクシオグループ株式会社,アセットマネジメントOne株式会社,3.38,26/04: 3.38%,投資信託または投資一任契約に基づき投資権限を有するもの。,A:賛成率低下 + C:会社提案否決,1,5.28,4,26/04: 5.28%
1951,エクシオグループ株式会社,アモーヴァ・アセットマネジメント株式会社,2.92,25/09: 2.92%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,A:賛成率低下 + C:会社提案否決,1,8.17,3,25/09: 8.17%
1951,エクシオグループ株式会社,日興アセットマネジメント株式会社,2.66,24/02: 2.66%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,A:賛成率低下 + C:会社提案否決,1,7.40,3,24/02: 7.40%
1951,エクシオグループ株式会社,三井住友信託銀行株式会社,1.77,24/02: 1.73% → 25/09: 1.77%,政策投資として保有するもの。退職給付信託の信託財産として取得、保有しているもの。,A:賛成率低下 + C:会社提案否決,2,8.17,3,24/02: 7.40% → 25/09: 8.17%
1951,エクシオグループ株式会社,株式会社みずほ銀行,0.88,26/04: 0.88%,発行会社の要請に応え、かつ発行会社との取引関係の強化を図るもの。,A:賛成率低下 + C:会社提案否決,1,5.28,4,26/04: 5.28%
1951,エクシオグループ株式会社,みずほ信託銀行株式会社,0.75,26/04: 0.75%,信託財産として運用その他の信託目的に従い保有するもの。,A:賛成率低下 + C:会社提案否決,1,5.28,4,26/04: 5.28%
1951,エクシオグループ株式会社,みずほ証券 株式会社,0.28,26/04: 0.28%,ディーリング(短期売買)目的で保有するもの。レンディングその他取引に基づく一時的保有。,A:賛成率低下 + C:会社提案否決,1,5.28,4,26/04: 5.28%
1951,エクシオグループ株式会社,野村證券株式会社,0.12,25/06: 0.12%,証券業務に係る商品在庫、及び累積投資業務の運営目的として保有している。,A:賛成率低下 + C:会社提案否決,1,5.00,2,25/06: 5.00%
1961,三機工業株式会社,大樹生命保険株式会社,5.41,25/12: 5.41%,純投資（収益性を投資判断の基準とする投資）,A:賛成率低下,1,9.42,2,25/12: 9.42%
