証券コード,企業名,大量保有報告書,保有者数,保有者一覧,トリガー条件
5721,エスクリプトエナジー株式会社,あり,6,フィリップ証券株式会社(0.0%) / 株式会社エルアイイーエイチ(0.0%) / 株式会社グローバルエナジー(2.0%) / 株式会社ミュージックコーポレーション(2.5%) / ＫＡＹ　ＬＥＯ　ＢＲＯＴＨＥＲＳ　ＬＩＭＩＴＥＤ(9.1%) / Ｌｏｎｇ　Ｃｏｒｒｉｄｏｒ　Ａｓｓｅｔ　Ｍａｎａｇｅｍｅｎｔ　Ｌｉｍｉｔｅｄ(3.7%),C:会社提案否決
5821,平河ヒューテック株式会社,あり,5,三井住友ＤＳアセットマネジメント株式会社(0.3%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(0.5%) / 隅田　和夫(3.1%) / ＡＸＩＵＭ　ＣＡＰＩＴＡＬ　ＰＴＥ．ＬＴＤ．(8.6%) / ＳＭＢＣ日興証券株式会社(0.7%),A:賛成率低下
5830,株式会社いよぎんホールディングス,なし,,,C:会社提案否決
5838,楽天銀行株式会社,あり,1,ＪＰモルガン・アセット・マネジメント株式会社(4.7%),A:賛成率低下
5905,日本製罐株式会社,あり,1,株式会社みみっく(9.6%),A:賛成率低下 + B:新規株主提案
5922,那須電機鉄工株式会社,あり,3,三井住友ＤＳアセットマネジメント株式会社(0.9%) / 株式会社ケー・エフ・シー(5.0%) / ＮＩＰＰＯＮ　ＡＣＴＩＶＥ　ＶＡＬＵＥ　ＦＵＮＤ　ＰＬＣ(7.8%),A:賛成率低下 + C:会社提案否決
5930,文化シヤッター株式会社,あり,5,三井住友信託銀行株式会社(1.1%) / 株式会社ストラテジックキャピタル(3.7%) / 根本　武(0.0%) / 遠藤　幸一(7.9%) / ＮＩＰＰＯＮ　ＡＣＴＩＶＥ　ＶＡＬＵＥ　ＦＵＮＤ　ＰＬＣ(3.5%),A:賛成率低下
5989,株式会社エイチワン,あり,2,三井住友トラスト・アセットマネジメント株式会社(3.1%) / 本田技研工業株式会社(21.3%),A:賛成率低下
5991,日本発條株式会社,あり,4,シルチェスター・インターナショナル・インベスターズ・エルエルピー(5.0%) / 大同特殊鋼株式会社(9.2%) / 株式会社みずほ銀行(2.5%) / 野村證券株式会社(0.1%),A:賛成率低下
6023,ダイハツインフィニアース株式会社,あり,4,カナメ・キャピタル・エルピー（Ｋａｎａｍｅ　Ｃａｐｉｔａｌ，Ｌ．Ｐ．）(12.0%) / ダイハツ工業株式会社(35.1%) / 今治造船株式会社(15.7%) / 積水ハウス株式会社(1.5%),A:賛成率低下
